,molecule_chembl_id,IC50,units,smiles,pIC50
0,CHEMBL275366,0.0017,nM,NC(N)=NCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccccc1)C(=O)O,11.769551078621726
1,CHEMBL105819,0.008,nM,CC(O)[C@@H](C(=O)N[C@H](C)c1ccccc1)N(C)C(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N,11.096910013008056
2,CHEMBL4108739,0.01,nM,COc1cc(C(=O)N2CC(C)(CCO)OC[C@H]2C)cc2nc(N[C@@H](CF)c3cccc(Cl)c3)oc12,11.0
3,CHEMBL143418,0.042,nM,Cc1nc(N)ccc1CNC(=O)Cn1c(C)cnc(NCC(F)(F)c2ccccn2)c1=O,10.3767507096021
4,CHEMBL4111930,0.1,nM,COc1cc(C(=O)N2CC(C)(CC(C)O)OC[C@H]2C)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,10.0
5,CHEMBL3349684,0.1,nM,N[C@@H](C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1)C(c1ccccc1)c1ccccc1,10.0
6,CHEMBL3084831,0.1,nM,CCCCOC(=O)C(=O)C(NC(=O)[C@@H]1CC[C@H]2CN(S(=O)(=O)Cc3ccccc3)CC(=O)N21)[C@H]1CC[C@H](N)CC1,10.0
7,CHEMBL4476621,0.103,nM,O=C(NNC(=S)Nc1ccc(Cl)c(Cl)c1)c1ccccc1O,9.987162775294827
8,CHEMBL4108161,0.16,nM,CCO[C@@H]1CC(CO)N(C(=O)c2cc(OC)c3oc(N[C@H](CF)c4cccc(Cl)c4)nc3c2)C1,9.795880017344075
9,CHEMBL4109095,0.19,nM,CCO[C@@H]1CC(CO)N(C(=O)c2cc(OC)c3oc(NC(CF)c4cccc(Cl)c4)nc3c2)C1,9.721246399047171
10,CHEMBL4107222,0.2,nM,COc1cc(C(=O)N2CC(C)(CCO)OC[C@H]2C)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,9.698970004336019
11,CHEMBL3889734,0.3,nM,COc1cc(C(=O)N2C[C@H](C)OC[C@H]2C2CC(O)C2)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,9.522878745280337
12,CHEMBL3948815,0.37,nM,COc1cc(C(=O)N2C[C@H](C)OC[C@@H]2C2CC(O)C2)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,9.431798275933005
13,CHEMBL4114319,0.38,nM,COc1cc(C(=O)N2CC3(CC3)NC(=O)C2C)cc2nc(N[C@H](CF)c3cccc(Cl)c3)oc12,9.42021640338319
14,CHEMBL289389,0.467,nM,Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)N[C@H]1CCCN(C(=N)N)C1O,9.330683119433887
15,CHEMBL3944800,0.47,nM,COc1cc(C(=O)N2CC(C)OCC2C2CC(O)C2)cc2nc(NC(CF)c3cccc(Cl)c3)oc12,9.327902142064282
